energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_album_name,playlist_name,track_name,track_album_release_date,mode,key,duration_ms,acousticness,playlist_subgenre,target
0.572,131.272,0.636,rock,-7.797,0.0878,0.66,Big Thief,4.0,0.0913,Vampire Empire,Feel Good Indie Rock,Vampire Empire,19-07-2023,1.0,9.0,192128.0,0.287,feel-good,1
0.76,130.096,0.512,korean,-5.889,0.103,0.495,Jung Kook,4.0,0.0682,Stay Alive (Prod. SUGA of BTS),K-Drama OSTs,Stay Alive (Prod. SUGA of BTS),11-02-2022,0.0,2.0,210928.0,0.299,drama,1
0.774,130.007,0.867,hip-hop,-5.791,0.157,0.549,Key Glock,4.0,0.315,Glock Bond,Gangster Rap,Russian Cream,02-02-2018,0.0,11.0,142498.0,0.11,gangster,1
0.449,84.383,0.623,rock,-13.333,0.0613,0.573,Tom Petty,4.0,0.0253,Full Moon Fever,80s Rock Anthems,Free Fallin',01-01-1989,1.0,5.0,256000.0,0.212,80s,1
0.567,75.965,0.574,gaming,-7.126,0.258,0.526,"JID, 21 Savage, Baby Tate",4.0,0.465,The Forever Story (Extended Version),Top Gaming Tracks,Surround Sound (feat. 21 Savage & Baby Tate),31-10-2022,0.0,7.0,229938.0,0.164,modern,1
0.932,129.473,0.522,blues,-2.87,0.177,0.33,"Eminem, Lil Wayne",4.0,0.255,Recovery,Classic Blues,No Love,18-06-2010,1.0,11.0,299507.0,0.119,classic,1
0.761,128.046,0.722,pop,-4.46,0.315,0.624,"Maroon 5, Christina Aguilera",4.0,0.0475,Hands All Over (Revised International Standard version),Throwback Party,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2010,0.0,11.0,201493.0,0.0119,throwback,1
0.84,97.027,0.673,rock,-3.564,0.0965,0.94,Juanes,4.0,0.0559,Un Día Normal,Spanish Rock Classics,A Dios Le Pido,01-01-2002,1.0,7.0,205373.0,0.0683,spanish,1
0.729,127.028,0.88,electronic,-6.378,0.185,0.246,nimino,4.0,0.176,I Only Smoke When I Drink,Techno Bunker,I Only Smoke When I Drink,22-08-2024,0.0,11.0,198425.0,0.334,techno,1
0.731,97.007,0.751,rock,-4.419,0.0556,0.973,Juanes,4.0,0.0308,Mi Sangre,Spanish Rock Classics,La Camisa Negra,01-01-2004,0.0,6.0,216707.0,0.0838,spanish,1
0.0429,69.569,0.196,electronic,-19.749,0.152,0.0575,Luke Howard,5.0,0.0395,Two Places,Nordic Electronica,The Ends,2016-01-01,1.0,11.0,214334.0,0.977,nordic,0
0.54,113.005,0.831,afrobeats,-9.928,0.0867,0.232,"Tyler ICU, DJ Exit, Khalil Harrison, Marsey, CowBoii, Ceeka RSA, Tyrone Dee",4.0,0.0737,Lucent,Amapiano Grooves,"Intsango (feat. Marsey, CowBoii, Khalil Harrison, Ceeka RSA & Tyrone Dee)",2024-11-15,0.0,10.0,364248.0,0.0052,amapiano,0
0.12,80.041,0.663,jazz,-13.662,0.115,0.19,L.Dre,4.0,0.0344,Gymnopédies,Jazz Vibes,Gymnopédies,2023-02-10,1.0,7.0,162000.0,0.925,modern,0
0.539,109.769,0.36,classical,-13.352,0.157,0.199,Dmitry V. Silantyev,4.0,0.0564,Pathfinder: Wrath of the Righteous,Epic Film Scores,Wrath of the Righteous Main Theme,2021-09-25,0.0,4.0,145080.0,0.812,cinematic,0
0.535,93.972,0.744,brazilian,-8.235,0.148,0.492,Luiz Carlos Da Vila,4.0,0.0821,"Benza, Deus",Samba Essentials,"Benza, Deus",2004-01-01,0.0,4.0,254640.0,0.755,samba,0
0.375,169.951,0.661,electronic,-10.134,0.105,0.645,FrankJavCee,3.0,0.0432,"FrankJavCee Collection, Vol. 1, Pt. II",Vaporwave Essentials,SimpsonWave1995,2016-06-05,0.0,3.0,142603.0,0.0566,vaporwave,0
0.79,97.833,0.728,latin,-8.458,0.0983,0.842,Fito Olivares y Su Grupo,4.0,0.0482,Exitos Inolvidables,Cumbia Classics,La Guera Salome,2013-06-25,1.0,5.0,187707.0,0.304,cumbia,0
0.663,90.191,0.621,pop,-5.216,0.172,0.601,Hedda Mae,4.0,0.0412,Another Stranger,Scandi Pop,Another Stranger,2022-05-27,1.0,1.0,178053.0,0.0147,scandi,0
0.626,96.625,0.833,latin,-7.798,0.0893,0.703,"La Sonora Dinamita, Alvaro Pava",4.0,0.0697,"Música Tropical de Colombia, Vol. 17",Cumbia Classics,La Suavecita,2015-07-17,0.0,5.0,235880.0,0.0225,cumbia,0
0.717,96.565,0.631,brazilian,-8.898,0.462,0.96,Trio Juazeiro,4.0,0.072,No Balanço da Fogueira,Forró Fiesta,Tem Quem Reze por Mim,2021-07-02,1.0,7.0,152346.0,0.552,forró,0
